Genome,ID,Start,Stop,Size (nt),Strand,Function
Acaryochloris marina (strain MBIC 11017),B0CEM9,1055238,1055407,167,+,DUF1499; InterPro=IPR010865
Acaryochloris marina (strain MBIC 11017),B0CEN0,1055422,1055794,370,+,Phytase; like; InterPro=IPR027372
Acaryochloris marina (strain MBIC 11017),B0CEN1,1055795,1056020,223,-,Peptidase_S26; InterPro=IPR019533; IPR000223; IPR036286
Acaryochloris marina (strain MBIC 11017),B0CEN2,1056060,1056263,201,-,Peptidase_S26; InterPro=IPR019533; IPR000223; IPR036286
Acaryochloris marina (strain MBIC 11017),B0CEN3,1056287,1056326,38,-,none
Acaryochloris marina (strain MBIC 11017),B0CEN4,1056345,1056906,560,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Acaryochloris marina (strain MBIC 11017),B0CEN5,1056930,1057381,449,-,none
Acaryochloris marina (strain MBIC 11017),B0CEN6,1057449,1057876,425,-,none
Acaryochloris marina (strain MBIC 11017),B0CEN7,1058227,1058727,498,+,NB; ARC; InterPro=IPR027417; IPR002182
Acaryochloris marina (strain MBIC 11017),B0CEN8,1058722,1058860,136,-,4HBT_2; InterPro=IPR022829; IPR050563; IPR029069
Acaryochloris marina (strain MBIC 11017),B0CEN9,1058892,1059182,288,-,none
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX8,1064878,1065352,472,+,ABC_transp_aux; InterPro=IPR019196
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX9,1065351,1065843,491,+,DUF4340; InterPro=IPR025641
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY0,1065869,1066239,368,+,none; InterPro=IPR038728
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY1,1066266,1066660,392,+,DUF5711; InterPro=IPR043765; IPR011047
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY2,1066666,1066905,238,+,Colicin_V; InterPro=IPR003825
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY3,1066996,1067551,553,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY4,1067574,1068129,554,+,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DBV4,1068232,1068589,355,-,rve; HTH_38; InterPro=IPR036397; IPR053392; IPR001584; IPR025246; IPR051917; IPR012337
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DBP0,1068621,1068992,369,+,HTH_38; InterPro=IPR036397; IPR053392; IPR025246; IPR001584; IPR051917; IPR012337; IPR013324
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY8,1069152,1069233,79,+,SecE; InterPro=IPR038379; IPR001901; IPR005807
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY9,1069251,1069429,176,+,KOW; NusG; InterPro=IPR014722; IPR036735; IPR001062; IPR005824; IPR006645; IPR043425; IPR008991; IPR047050
Acidiphilium cryptum (strain JF-5),A5FXC5,386531,386916,383,+,DegT_DnrJ_EryC1; InterPro=IPR015421; IPR015422; IPR000653; IPR015424
Acidiphilium cryptum (strain JF-5),A5FXC6,386911,387228,315,+,Abhydrolase_1; InterPro=IPR029058; IPR000073; IPR005944; IPR002410
Acidiphilium cryptum (strain JF-5),A5FXC7,387279,387607,326,+,NMT1_3; InterPro=IPR011852
Acidiphilium cryptum (strain JF-5),A5FXC8,387674,388533,857,+,MMPL; InterPro=IPR004869; IPR050545; IPR017841
