Genome,ID,Start,Stop,Size (nt),Strand,Function
Acaryochloris marina (strain MBIC 11017),B0CDQ0,1050717,1051504,785,-,Peptidase_M50; TPR_8; TPR_11; InterPro=IPR011990; IPR008915
Acaryochloris marina (strain MBIC 11017),B0CEL5,1051647,1052000,351,+,Dala_Dala_lig_N; Dala_Dala_lig_C; InterPro=IPR013815; IPR005905; IPR011127; IPR011095; IPR011761; IPR016185
Acaryochloris marina (strain MBIC 11017),B0CEL6,1052039,1052193,152,+,DUF3592; InterPro=IPR021994
Acaryochloris marina (strain MBIC 11017),B0CEL7,1052222,1052351,128,+,DUF3592; InterPro=IPR021994
Acaryochloris marina (strain MBIC 11017),B0CEL8,1052361,1052798,436,-,Peptidase_S13; InterPro=IPR012338; IPR000667
Acaryochloris marina (strain MBIC 11017),B0CEL9,1052858,1053071,212,+,none
Acaryochloris marina (strain MBIC 11017),B0CEM0,1053135,1053385,248,+,Antibiotic_NAT; InterPro=IPR003679; IPR028345
Acaryochloris marina (strain MBIC 11017),B0CEM1,1053436,1053633,196,-,none
Acaryochloris marina (strain MBIC 11017),B0CEM2,1053653,1053900,246,-,adh_short; InterPro=IPR002347; IPR036291
Acaryochloris marina (strain MBIC 11017),B0CEM3,1053922,1054118,195,-,TetR_N; TetR_C_13; InterPro=IPR001647; IPR011075; IPR009057; IPR036271
Acaryochloris marina (strain MBIC 11017),B0CEM4,1054219,1054365,144,+,YHS; InterPro=IPR007029
Acaryochloris marina (strain MBIC 11017),B0CEM5,1054363,1054672,308,-,none; InterPro=IPR011990
Acaryochloris marina (strain MBIC 11017),B0CEM6,1054702,1054857,153,-,DUF4272; InterPro=IPR025368
Acaryochloris marina (strain MBIC 11017),B0CEM7,1054922,1055079,155,-,Cupin_2; InterPro=IPR014710; IPR013096; IPR051610; IPR011051
Acaryochloris marina (strain MBIC 11017),B0CEM8,1055106,1055203,95,+,none
Acaryochloris marina (strain MBIC 11017),B0CEM9,1055238,1055407,167,+,DUF1499; InterPro=IPR010865
Acaryochloris marina (strain MBIC 11017),B0CEN0,1055422,1055794,370,+,Phytase; like; InterPro=IPR027372
Acaryochloris marina (strain MBIC 11017),B0CEN1,1055795,1056020,223,-,Peptidase_S26; InterPro=IPR019533; IPR000223; IPR036286
Acaryochloris marina (strain MBIC 11017),B0CEN2,1056060,1056263,201,-,Peptidase_S26; InterPro=IPR019533; IPR000223; IPR036286
Acaryochloris marina (strain MBIC 11017),B0CEN3,1056287,1056326,38,-,none
Acaryochloris marina (strain MBIC 11017),B0CEN4,1056345,1056906,560,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Acaryochloris marina (strain MBIC 11017),B0CEN5,1056930,1057381,449,-,none
Acaryochloris marina (strain MBIC 11017),B0CEN6,1057449,1057876,425,-,none
Acaryochloris marina (strain MBIC 11017),B0CEN7,1058227,1058727,498,+,NB; ARC; InterPro=IPR027417; IPR002182
Acaryochloris marina (strain MBIC 11017),B0CEN8,1058722,1058860,136,-,4HBT_2; InterPro=IPR022829; IPR050563; IPR029069
Acaryochloris marina (strain MBIC 11017),B0CEN9,1058892,1059182,288,-,none
Acaryochloris marina (strain MBIC 11017),B0CEP0,1059256,1059397,140,+,Glyoxalase; InterPro=IPR029068; IPR004360; IPR037523; IPR051332
Acaryochloris marina (strain MBIC 11017),B0CEP1,1059400,1059440,38,-,none
Acaryochloris marina (strain MBIC 11017),B0CEP2,1059442,1059721,277,+,Band_7; InterPro=IPR036013; IPR001107; IPR000163
Acaryochloris marina (strain MBIC 11017),B0CEP3,1059740,1060400,658,-,Ferric_reduct; FAD_binding_8; NAD_binding_6; EF-hand_7; InterPro=IPR039261; IPR013130; IPR013112; IPR013121; IPR002048; IPR017927; IPR050369; IPR011992; IPR017938
Acaryochloris marina (strain MBIC 11017),B0CEP4,1060652,1061146,492,-,none; InterPro=IPR011042
Acaryochloris marina (strain MBIC 11017),B0CEP5,1061178,1061436,257,-,adh_short_C2; InterPro=IPR014358; IPR002347; IPR036291
Acaryochloris marina (strain MBIC 11017),B0CEP6,1061555,1061784,228,+,cNMP_binding; HTH_Crp_2; InterPro=IPR036388; IPR014710; IPR000595; IPR012318; IPR050397; IPR036390; IPR018490; IPR022299
Acaryochloris marina (strain MBIC 11017),B0CEP7,1061791,1062319,527,-,none
Acaryochloris marina (strain MBIC 11017),B0CEP8,1062394,1062687,291,-,Shikimate_dh_N; SDH_C; InterPro=IPR022893; IPR013708; IPR041121; IPR036291; IPR046346
Acaryochloris marina (strain MBIC 11017),B0CEP9,1062708,1062821,111,-,P; II; InterPro=IPR015867; IPR002187; IPR011322
Acaryochloris marina (strain MBIC 11017),B0CEQ0,1063023,1063387,363,+,ABC_tran; TOBE_2; InterPro=IPR027417; IPR003439; IPR013611; IPR050093; IPR003593; IPR008995
Acaryochloris marina (strain MBIC 11017),B0CEQ1,1063371,1063698,325,-,Pkinase; InterPro=IPR000719; IPR011009
